"Fecha","Hora","PVPC","Dia"
"2014/04/15","15",122.92885208,"martes"
"2014/04/15","16",123.02069208,"martes"
"2014/04/15","17",122.03341208,"martes"
"2014/04/15","18",123.11253208,"martes"
"2014/04/15","19",123.50285208,"martes"
"2014/04/15","20",122.29745208,"martes"
"2014/04/15","21",141.33129208,"martes"
"2014/04/15","22",143.94873208,"martes"
"2014/04/15","23",125.94809208,"martes"
"2014/04/15","24",54.10327024,"martes"
"2014/04/16","1",57.21495024,"miércoles"
"2014/04/16","2",51.54622756,"miércoles"
"2014/04/16","3",47.41942756,"miércoles"
"2014/04/16","4",49.43938756,"miércoles"
"2014/04/16","5",47.57146756,"miércoles"
"2014/04/16","6",49.29820756,"miércoles"
"2014/04/16","7",53.42500756,"miércoles"
"2014/04/16","8",60.39527024,"miércoles"
"2014/04/16","9",60.45247024,"miércoles"
"2014/04/16","10",61.44775024,"miércoles"
"2014/04/16","11",61.51639024,"miércoles"
"2014/04/16","12",56.57431024,"miércoles"
"2014/04/16","13",55.65911024,"miércoles"
"2014/04/16","14",123.66357208,"miércoles"
"2014/04/16","15",123.44545208,"miércoles"
"2014/04/16","16",121.94157208,"miércoles"
"2014/04/16","17",121.63161208,"miércoles"
"2014/04/16","18",121.99897208,"miércoles"
"2014/04/16","19",122.38929208,"miércoles"
"2014/04/16","20",121.34461208,"miércoles"
"2014/04/16","21",135.10913208,"miércoles"
"2014/04/16","22",137.71509208,"miércoles"
"2014/04/16","23",122.81405208,"miércoles"
"2014/04/16","24",51.14031024,"miércoles"
"2014/04/17","1",50.14503024,"jueves"
"2014/04/17","2",41.58760756,"jueves"
"2014/04/17","3",40.91428756,"jueves"
"2014/04/17","4",42.09802756,"jueves"
"2014/04/17","5",41.40298756,"jueves"
"2014/04/17","6",42.32608756,"jueves"
"2014/04/17","7",44.92162756,"jueves"
"2014/04/17","8",48.33751024,"jueves"
"2014/04/17","9",48.80655024,"jueves"
"2014/04/17","10",48.22311024,"jueves"
"2014/04/17","11",45.82071024,"jueves"
"2014/04/17","12",42.83487024,"jueves"
"2014/04/17","13",41.73663024,"jueves"
"2014/04/17","14",109.87609208,"jueves"
"2014/04/17","15",107.28161208,"jueves"
"2014/04/17","16",105.73181208,"jueves"
"2014/04/17","17",99.22265208,"jueves"
"2014/04/17","18",97.45473208,"jueves"
"2014/04/17","19",98.74049208,"jueves"
"2014/04/17","20",102.79293208,"jueves"
"2014/04/17","21",108.90029208,"jueves"
"2014/04/17","22",113.25121208,"jueves"
"2014/04/17","23",111.95397208,"jueves"
"2014/04/17","24",36.85175024,"jueves"
"2014/04/18","1",51.55215024,"viernes"
"2014/04/18","2",44.63926756,"viernes"
"2014/04/18","3",40.81654756,"viernes"
"2014/04/18","4",41.47900756,"viernes"
"2014/04/18","5",41.68534756,"viernes"
